epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,2447.7,1.05697,0.64966,1.69855,0.94686,0.95375,0.97563,0.81509,1.56527,0.75533,1.93452,0.000250656,0.000250656,0.000250656
123,2466.76,1.03312,0.66814,1.69339,0.95436,0.95456,0.97591,0.81136,1.59032,0.7499,1.94149,0.000247563,0.000247563,0.000247563
124,2485.58,1.05834,0.65627,1.70695,0.95298,0.94746,0.9702,0.80337,1.59397,0.79758,1.94657,0.000244469,0.000244469,0.000244469
125,2504.52,0.98465,0.63374,1.67239,0.95465,0.96065,0.97197,0.80942,1.59321,0.76532,1.93643,0.000241375,0.000241375,0.000241375
126,2523.77,0.98568,0.6183,1.67509,0.95156,0.95683,0.97174,0.81026,1.59988,0.76267,1.95858,0.000238281,0.000238281,0.000238281
127,2542.86,1.00945,0.62807,1.68176,0.96457,0.95383,0.97342,0.81648,1.55945,0.75155,1.93178,0.000235188,0.000235188,0.000235188
128,2561.83,1.01112,0.64686,1.67826,0.9523,0.95418,0.97345,0.81242,1.59802,0.79287,1.95521,0.000232094,0.000232094,0.000232094
129,2580.81,0.99458,0.65651,1.69867,0.94131,0.95974,0.97087,0.81124,1.59268,0.79047,1.95729,0.000229,0.000229,0.000229
130,2599.59,1.00276,0.65317,1.6813,0.9512,0.95833,0.97411,0.81049,1.60029,0.78487,1.95302,0.000225906,0.000225906,0.000225906
131,2618.68,0.99978,0.62734,1.68146,0.95946,0.95003,0.9721,0.80789,1.59448,0.78063,1.95612,0.000222813,0.000222813,0.000222813
132,2637.57,0.97855,0.62272,1.67584,0.94129,0.96107,0.97356,0.81234,1.59624,0.78626,1.95678,0.000219719,0.000219719,0.000219719
133,2656.41,0.96064,0.63659,1.67209,0.95785,0.94818,0.97528,0.81163,1.57501,0.76301,1.94905,0.000216625,0.000216625,0.000216625
134,2675.43,0.94833,0.59435,1.6758,0.9595,0.95854,0.9759,0.81537,1.56095,0.73817,1.93847,0.000213531,0.000213531,0.000213531
135,2694.31,0.95835,0.62132,1.67627,0.95762,0.96052,0.97422,0.81733,1.5609,0.74476,1.94195,0.000210437,0.000210437,0.000210437
136,2713.31,0.93772,0.60084,1.6636,0.96551,0.95957,0.97483,0.81467,1.57458,0.75415,1.94988,0.000207344,0.000207344,0.000207344
137,2732.4,0.95878,0.63465,1.67993,0.96685,0.95473,0.97657,0.81354,1.59838,0.74679,1.96387,0.00020425,0.00020425,0.00020425
138,2751.21,0.968,0.60798,1.68,0.95442,0.96204,0.9766,0.81565,1.5757,0.74137,1.94293,0.000201156,0.000201156,0.000201156
139,2770.24,0.92272,0.58983,1.66248,0.96504,0.95242,0.9779,0.82014,1.55789,0.72846,1.9381,0.000198063,0.000198063,0.000198063
140,2789.22,0.91793,0.60509,1.66861,0.95702,0.9421,0.97288,0.81438,1.6078,0.81646,1.95312,0.000194969,0.000194969,0.000194969
141,2809.95,0.95094,0.60166,1.6741,0.96327,0.95163,0.97678,0.81671,1.5674,0.74414,1.95457,0.000191875,0.000191875,0.000191875
142,2828.68,0.93932,0.58907,1.66813,0.97076,0.95574,0.9792,0.81743,1.58339,0.74005,1.95728,0.000188781,0.000188781,0.000188781
143,2847.79,0.93841,0.61124,1.66062,0.96606,0.96419,0.9787,0.82056,1.57058,0.7427,1.96633,0.000185688,0.000185688,0.000185688
144,2866.76,0.94552,0.59722,1.66275,0.97163,0.9642,0.97542,0.81741,1.58267,0.73237,1.96024,0.000182594,0.000182594,0.000182594
145,2885.57,0.93626,0.61566,1.68202,0.96315,0.96349,0.97565,0.81639,1.58537,0.74933,1.95831,0.0001795,0.0001795,0.0001795
146,2904.43,0.92849,0.59307,1.66707,0.96209,0.958,0.97615,0.8164,1.59113,0.74668,1.96482,0.000176406,0.000176406,0.000176406
147,2923.49,0.93599,0.60622,1.68081,0.96873,0.95605,0.97665,0.81841,1.57278,0.74628,1.96688,0.000173313,0.000173313,0.000173313
148,2942.42,0.92603,0.60174,1.66854,0.966,0.96168,0.9736,0.81487,1.55779,0.73723,1.95034,0.000170219,0.000170219,0.000170219
149,2961.52,0.91598,0.59458,1.67431,0.95292,0.95953,0.97519,0.81892,1.56632,0.77361,1.95179,0.000167125,0.000167125,0.000167125
150,2980.31,0.90705,0.60111,1.65732,0.94691,0.95788,0.97845,0.82292,1.58985,0.75268,1.96183,0.000164031,0.000164031,0.000164031
151,2999.66,0.87645,0.58802,1.66755,0.96539,0.94535,0.97435,0.817,1.59245,0.7613,1.96584,0.000160938,0.000160938,0.000160938
152,3018.44,0.89049,0.57263,1.66439,0.95788,0.95433,0.97491,0.82222,1.56622,0.75177,1.96642,0.000157844,0.000157844,0.000157844
153,3037.44,0.90243,0.62486,1.67278,0.95378,0.9595,0.97446,0.82113,1.58452,0.76399,1.96588,0.00015475,0.00015475,0.00015475
154,3056.34,0.89217,0.60559,1.65928,0.95902,0.95221,0.9749,0.81984,1.55825,0.73333,1.95249,0.000151656,0.000151656,0.000151656
155,3075.21,0.88288,0.57425,1.66496,0.96621,0.94918,0.97557,0.81757,1.58817,0.75849,1.97157,0.000148563,0.000148563,0.000148563
156,3094.08,0.87177,0.56804,1.65283,0.95243,0.95542,0.97357,0.81816,1.57596,0.76946,1.96508,0.000145469,0.000145469,0.000145469
157,3113.03,0.887,0.57617,1.65938,0.96508,0.95203,0.97635,0.81955,1.56102,0.74215,1.96747,0.000142375,0.000142375,0.000142375
158,3131.99,0.87642,0.59457,1.65638,0.95327,0.96163,0.97462,0.81575,1.54905,0.74325,1.95412,0.000139281,0.000139281,0.000139281
159,3151.03,0.86288,0.58042,1.64747,0.95389,0.96359,0.97285,0.8159,1.56848,0.74087,1.95302,0.000136187,0.000136187,0.000136187
160,3170.05,0.88684,0.57603,1.65368,0.96775,0.94317,0.97487,0.81866,1.55587,0.74725,1.95509,0.000133094,0.000133094,0.000133094
161,3188.93,0.87613,0.57981,1.65878,0.96104,0.95126,0.97229,0.81656,1.58861,0.76886,1.96987,0.00013,0.00013,0.00013
162,3207.86,0.84503,0.5705,1.65389,0.95762,0.95236,0.97324,0.8139,1.59697,0.79105,1.98189,0.000126906,0.000126906,0.000126906
163,3226.87,0.83729,0.54059,1.64934,0.9576,0.96359,0.97733,0.8218,1.56736,0.72929,1.97167,0.000123812,0.000123812,0.000123812
164,3245.74,0.84714,0.56808,1.6526,0.9643,0.95554,0.9758,0.81975,1.56387,0.75098,1.96529,0.000120719,0.000120719,0.000120719
165,3264.7,0.85703,0.56009,1.65828,0.96456,0.94821,0.9755,0.81559,1.5752,0.75802,1.97006,0.000117625,0.000117625,0.000117625
166,3283.73,0.83008,0.5609,1.65368,0.9641,0.95164,0.97414,0.81627,1.59196,0.74924,1.98024,0.000114531,0.000114531,0.000114531
167,3302.56,0.83373,0.5661,1.64177,0.9692,0.94858,0.97739,0.81896,1.58324,0.73868,1.98217,0.000111438,0.000111438,0.000111438
168,3321.42,0.83876,0.562,1.64894,0.96115,0.95308,0.97423,0.81963,1.56556,0.75053,1.96454,0.000108344,0.000108344,0.000108344
169,3340.26,0.82939,0.55436,1.65116,0.96432,0.94844,0.97643,0.81795,1.56046,0.74063,1.9682,0.00010525,0.00010525,0.00010525
170,3359.17,0.83544,0.5724,1.65319,0.97093,0.93795,0.97686,0.82071,1.55551,0.77143,1.96788,0.000102156,0.000102156,0.000102156
171,3377.82,0.82385,0.56223,1.64912,0.96272,0.95475,0.97557,0.82075,1.57088,0.7836,1.96872,9.90625e-05,9.90625e-05,9.90625e-05
172,3396.75,0.82478,0.55829,1.64464,0.96122,0.95266,0.97438,0.81802,1.57768,0.77977,1.97354,9.59688e-05,9.59688e-05,9.59688e-05
173,3415.94,0.80666,0.53025,1.64045,0.95641,0.95895,0.97357,0.81658,1.58934,0.81059,1.97977,9.2875e-05,9.2875e-05,9.2875e-05
174,3435,0.80748,0.53591,1.63975,0.95864,0.95722,0.97409,0.81518,1.57494,0.76981,1.97751,8.97813e-05,8.97813e-05,8.97813e-05
175,3454.01,0.81323,0.55666,1.6428,0.96455,0.95621,0.97396,0.82001,1.55734,0.77096,1.95742,8.66875e-05,8.66875e-05,8.66875e-05
176,3472.91,0.78952,0.52981,1.63735,0.95872,0.95794,0.9739,0.81807,1.56809,0.77359,1.9656,8.35938e-05,8.35938e-05,8.35938e-05
177,3491.96,0.79651,0.54631,1.64601,0.96594,0.94654,0.97561,0.82353,1.55538,0.76552,1.96052,8.05e-05,8.05e-05,8.05e-05
178,3511.12,0.83711,0.57292,1.65596,0.96294,0.96185,0.9735,0.81976,1.55821,0.73677,1.96954,7.74062e-05,7.74062e-05,7.74062e-05
